Date,Holiday Name,Information,Jurisdiction
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20210126,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20210308,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20210404,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20210405,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20210426,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20210531,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,Australian Capital Territory
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20211004,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Australian Capital Territory
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",Australian Capital Territory
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",Australian Capital Territory
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20210126,Australia Day,Always celebrated on 26 January,New South Western Australiales
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20210404,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20210405,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20210425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20210802,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",New South Western Australiales
20211004,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",New South Western Australiales
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",New South Western Australiales
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",New South Western Australiales
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20210126,Australia Day,Always celebrated on 26 January,Northern Territory
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20210405,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20210426,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20210503,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
20210802,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",Northern Territory
20211224,Christmas Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,Northern Territory
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Northern Territory
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Northern Territory
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",Northern Territory
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",Northern Territory
20211231,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,Northern Territory
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Queensland
20210126,Australia Day,Always celebrated on 26 January,Queensland
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Queensland
20210403,The Day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Queensland
20210404,Easter Sunday,Public Holiday as part of Easter.,Queensland
20210405,Easter Monday,Public Holiday as part of Easter.,Queensland
20210426,Anzac Day,Celebrated on the 25 April each year.,Queensland
20210503,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Queensland
20211004,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Queensland
20211224,Christmas Eve 6pm - Midnight,Part day public holiday from 6pm to midnight,Queensland
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Queensland
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",Queensland
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",Queensland
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,South Australia
20210126,Australia Day,Always celebrated on 26 January,South Australia
20210308,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,South Australia
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,South Australia
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,South Australia
20210405,Easter Monday,Public Holiday as part of Easter.,South Australia
20210426,Anzac Day (additional day),Celebrated on the 25 April each year.,South Australia
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,South Australia
20211004,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",South Australia
20211224,Christmas Eve  7pm - Midnight,Part-day public holiday from 7pm-12 midnight,South Australia
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,South Australia
20211226,Boxing Day / Proclamation Day,Proclamation/Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,South Australia
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",South Australia
20211228,Boxing Day / Proclamation Day (additional day),"As 26 December (Proclamation/Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",South Australia
20211231,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,South Australia
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Tasmania
20210126,Australia Day,Always celebrated on 26 January,Tasmania
20210308,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Tasmania
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Tasmania
20210405,Easter Monday,Public Holiday as part of Easter.,Tasmania
20210406,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,Tasmania
20210425,Anzac Day,Celebrated on the 25 April each year.,Tasmania
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Tasmania
20211225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20211227,Christmas (additional day),Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20211228,Boxing Day (additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Victoria
20210126,Australia Day,Always celebrated on 26 January,Victoria
20210308,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Victoria
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Victoria
20210403,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Victoria
20210404,Easter Sunday,Public Holiday as part of Easter.,Victoria
20210405,Easter Monday,Public Holiday as part of Easter.,Victoria
20210425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20210924,Friday before AFL Grand Final,Friday before the AFL Grand Final,Victoria
20211102,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20211225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20211227,Christmas (additional day),Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20211228,Boxing Day (additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20210126,Australia Day,Always celebrated on 26 January,Western Australia
20210301,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20210405,Easter Monday,Public Holiday as part of Easter.,Western Australia
20210425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20210426,Anzac Day (additional day),Celebrated on the 25 April each year.,Western Australia
20210607,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20210927,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",Western Australia
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",Western Australia
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",Australian Capital Territory
20220126,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20220314,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20220416,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20220417,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20220418,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20220425,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20220530,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,Australian Capital Territory
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20221003,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Australian Capital Territory
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Australian Capital Territory
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20220103,New Year's Day (additional day),New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20220126,Australia Day,Always celebrated on 26 January,New South Western Australiales
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20220416,Easter Saturday - the Saturday following Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20220417,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20220418,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20220425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20220801,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",New South Western Australiales
20221003,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",New South Western Australiales
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20221227,Christmas (additional day),As 25 December (Christmas Day) falls on a Sunday in 2022 there is an additional public holiday on the Tuesday.,New South Western Australiales
20220103,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20220126,Australia Day,Always celebrated on 26 January,Northern Territory
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20220416,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20220418,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20220425,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20220502,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
20220801,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",Northern Territory
20221224,Christmas Eve 7pm - midnight,Part-day public holiday from 7pm-12 midnight,Northern Territory
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Northern Territory
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Northern Territory
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Northern Territory
20221231,New Year's Eve 7pm - midnight,Part-day public holiday from 7pm-12 midnight,Northern Territory
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Queensland
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",Queensland
20220126,Australia Day,Always celebrated on 26 January,Queensland
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Queensland
20220416,The day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Queensland
20220417,Easter Sunday,Public Holiday as part of Easter.,Queensland
20220418,Easter Monday,Public Holiday as part of Easter.,Queensland
20220425,Anzac Day,Celebrated on the 25 April each year.,Queensland
20220502,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Queensland
20221003,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Queensland
20221224,Christmas Eve 6pm - Midnight,Part day public holiday from 6pm to midnight,Queensland
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Queensland
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Queensland
20220103,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,South Australia
20220126,Australia Day,Always celebrated on 26 January,South Australia
20220314,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,South Australia
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,South Australia
20220416,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,South Australia
20220418,Easter Monday,Public Holiday as part of Easter.,South Australia
20220425,Anzac Day,Celebrated on the 25 April each year.,South Australia
20220613,Queen's Birthday / Volunteer's Day,Celebrated on second Monday in June except in Western Australia and Queensland.,South Australia
20221003,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",South Australia
20221224,Christmas Eve 7pm - midnight,Part-day public holiday from 7pm-12 midnight,South Australia
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,South Australia
20221226,Boxing Day / Proclamation Day,Proclamation/Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,South Australia
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",South Australia
20221231,New Year's Eve 7pm  - midnight,Part-day public holiday from 7pm-12 midnight,South Australia
20220103,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Tasmania
20220126,Australia Day,Always celebrated on 26 January,Tasmania
20220314,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Tasmania
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Tasmania
20220418,Easter Monday,Public Holiday as part of Easter.,Tasmania
20220419,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,Tasmania
20220425,Anzac Day,Celebrated on the 25 April each year.,Tasmania
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Tasmania
20221225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Tasmania
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Victoria
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",Victoria
20220126,Australia Day,Always celebrated on 26 January,Victoria
20220314,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Victoria
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Victoria
20220416,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Victoria
20220417,Easter Sunday,Public Holiday as part of Easter.,Victoria
20220418,Easter Monday,Public Holiday as part of Easter.,Victoria
20220425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20220923,Friday before the AFL Grand Final,Friday before the AFL Grand Final,Victoria
20221101,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20221225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Victoria
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",Western Australia
20220126,Australia Day,Always celebrated on 26 January,Western Australia
20220307,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20220418,Easter Monday,Public Holiday as part of Easter.,Western Australia
20220425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20220606,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20220926,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2022, there is an additional public holiday on the Monday.",Western Australia
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Sunday in 2023, the following Monday is observed as an additional public holiday.",Australian Capital Territory
20230126,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20230313,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20230409,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20230410,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20230425,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20230529,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,Australian Capital Territory
20230612,Sovereign's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Australian Capital Territory
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",New South Western Australiales
20230126,Australia Day,Always celebrated on 26 January,New South Western Australiales
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20230409,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20230410,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20230425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20230807,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",New South Western Australiales
20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,New South Western Australiales
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Northern Territory
20230126,Australia Day,Always celebrated on 26 January,Northern Territory
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20230409,Easter Sunday,Public Holiday as part of Easter.,Northern Territory
20230410,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20230425,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20230501,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
